,season,week,home_team,home_points,away_points,away_team
0,2009,1,NC State,3,7,South Carolina
1,2009,1,Bowling Green,31,14,Troy
2,2009,1,Kent State,18,0,Coastal Carolina
3,2009,1,Temple,24,27,Villanova
4,2009,1,Ball State,10,20,North Texas
5,2009,1,Indiana,19,13,Eastern Kentucky
6,2009,1,Iowa State,34,17,North Dakota State
7,2009,1,Utah,35,17,Utah State
8,2009,1,Boise State,19,8,Oregon
9,2009,1,Tulane,13,37,Tulsa
10,2009,1,Hawai'i,25,20,Central Arkansas
11,2009,1,West Virginia,33,20,Liberty
12,2009,1,Penn State,31,7,Akron
13,2009,1,Ohio State,31,27,Navy
14,2009,1,Northwestern,47,14,Towson
15,2009,1,Michigan State,44,3,Montana State
16,2009,1,Purdue,52,31,Toledo
17,2009,1,Syracuse,20,23,Minnesota
18,2009,1,Miami (OH),0,42,Kentucky
19,2009,1,East Carolina,29,24,App State
20,2009,1,Iowa,17,16,Northern Iowa
21,2009,1,Tennessee,63,7,Western Kentucky
22,2009,1,Pittsburgh,38,3,Youngstown State
23,2009,1,Georgia Tech,37,17,Jacksonville State
24,2009,1,Boston College,54,0,Northeastern
25,2009,1,Air Force,72,0,Nicholls
26,2009,1,Oregon State,34,7,Portland State
27,2009,1,Wyoming,29,22,Weber State
28,2009,1,Mississippi State,45,7,Jackson State
29,2009,1,Wake Forest,21,24,Baylor
30,2009,1,Oklahoma State,24,10,Georgia
31,2009,1,Notre Dame,35,0,Nevada
32,2009,1,Michigan,31,7,Western Michigan
33,2009,1,USC,56,3,San José State
34,2009,1,Illinois,9,37,Missouri
35,2009,1,UAB,44,24,Rice
36,2009,1,Marshall,31,28,Southern Illinois
37,2009,1,North Carolina,40,6,The Citadel
38,2009,1,Virginia,14,26,William & Mary
39,2009,1,Washington State,13,39,Stanford
40,2009,1,Clemson,37,14,Middle Tennessee
41,2009,1,Wisconsin,28,20,Northern Illinois
42,2009,1,Texas A&M,41,6,New Mexico
43,2009,1,Nebraska,49,3,Florida Atlantic
44,2009,1,Eastern Michigan,14,27,Army
45,2009,1,Auburn,37,13,Louisiana Tech
46,2009,1,Ohio,16,23,UConn
47,2009,1,Florida,62,3,Charleston Southern
48,2009,1,Arkansas,48,10,Missouri State
49,2009,1,Houston,55,7,Northwestern State
50,2009,1,Louisiana,42,19,Southern
51,2009,1,Southern Miss,52,0,Alcorn State
52,2009,1,Texas Tech,38,13,North Dakota
53,2009,1,Oklahoma,13,14,BYU
54,2009,1,Kansas,49,3,Northern Colorado
55,2009,1,Texas,59,20,UL Monroe
56,2009,1,Duke,16,24,Richmond
57,2009,1,Arkansas State,61,0,Mississippi Valley State
58,2009,1,Kansas State,21,17,Massachusetts
59,2009,1,Vanderbilt,45,0,Western Carolina
60,2009,1,UCF,28,24,Samford
61,2009,1,Louisville,30,10,Indiana State
62,2009,1,South Florida,40,7,Wofford
63,2009,1,UCLA,33,14,San Diego State
64,2009,1,New Mexico State,6,21,Idaho
65,2009,1,Virginia Tech,24,34,Alabama
66,2009,1,SMU,31,23,Stephen F. Austin
67,2009,1,UTEP,17,23,Buffalo
68,2009,1,Arizona,19,6,Central Michigan
69,2009,1,Arizona State,50,3,Idaho State
70,2009,1,Fresno State,51,0,UC Davis
71,2009,1,UNLV,38,3,Sacramento State
72,2009,1,California,52,13,Maryland
73,2009,1,Washington,23,31,LSU
74,2009,1,Memphis,14,45,Ole Miss
75,2009,1,Colorado,17,23,Colorado State
76,2009,1,Rutgers,15,47,Cincinnati
77,2009,1,Florida State,34,38,Miami
78,2009,2,Georgia Tech,30,27,Clemson
79,2009,2,Toledo,54,38,Colorado
80,2009,2,Wisconsin,34,31,Fresno State
81,2009,2,Penn State,28,7,Syracuse
82,2009,2,Buffalo,27,54,Pittsburgh
83,2009,2,Michigan State,27,29,Central Michigan
84,2009,2,Northwestern,27,24,Eastern Michigan
85,2009,2,Indiana,23,19,Western Michigan
86,2009,2,Army,19,35,Duke
87,2009,2,Wake Forest,24,17,Stanford
88,2009,2,UConn,10,12,North Carolina
89,2009,2,Iowa State,3,35,Iowa
90,2009,2,Florida,56,6,Troy
91,2009,2,Virginia Tech,52,10,Marshall
